STA_NUM,Prct_finish_uni,Prct_finish_school,Apt_Value
111,2.5,3.3,13598
112,4,2.1,13305
113,6.3,30.8,14869
114,6,30,16348
115,5.8,31.8,14398
116,8.3,42.5,14598
121,14.1,52.3,15096
122,13,66.7,13795
123,15.4,64.3,14155
124,15.4,58.8,12873
125,16.1,53.7,12873
131,21.5,82.1,13823
132,18.3,63.6,13270
133,17.5,61.9,15551
134,16.4,70.5,12036
135,16.5,66.3,13287
136,17.1,78.3,13877
411,3.9,8.3,16636
412,2.1,1.8,16794
413,4.6,11,15897
421,15.3,53.3,17591
422,14.1,65,18701
423,4.1,10.3,19683
424,6.5,6.7,17029
425,2.2,0.7,14466
426,3.3,1.8,17454
431,17.9,47.7,17458
432,6.3,6.2,18791
433,17.1,82.6,18548
434,14.6,51.4,17508
435,24.3,65,18781
512,0.7,0,27550
513,0.5,2,22396
514,1.4,3.8,19993
515,2.4,3,23075
521,2.7,2,25308
522,8.9,25,21720
523,12.8,41.7,20124
531,6.1,11.5,20416
532,2.1,6.1,22237
533,2.3,6.7,19650
541,29.2,87.9,16271
542,28.5,66.7,14466
543,11,..,11992
812,5,8.2,19455
821,0.8,1.4,18397
822,1.7,5.1,18422
823,1,5.4,18928
824,1.5,2.2,23929
825,1,0,21967
826,1.1,2.9,21096
832,3.7,10.4,22428
833,4.1,7.4,20857
834,2.9,5.5,21802
835,1.3,0,22534
836,3,0,19462
841,12.1,9.1,23985
842,6.9,14.3,21868
843,18.6,..,22222
846,27,..,27936
847,29.5,..,22995
848,..,..,..
851,10.4,0,23137
852,22.4,..,28993
853,14.2,9.1,23986
854,22.2,50,20884
855,24.4,..,27017
856,25.6,..,20673
857,26.6,28.6,22278
858,13.2,72.7,21848
861,16.8,..,23574
862,26.5,..,28241
863,36.6,76.9,28144
864,37,62.5,24706
911,1.7,0.9,19807
912,0.8,0,20408
913,2.3,5.3,19940
914,3.2,3.6,22838
915,3.2,4.5,23938
921,7,19.2,19430
922,12.1,18.2,23213
923,14.5,31.1,19962
925,28.9,..,19121
931,8.6,21.8,15872
932,7.1,14.2,18029
933,6.9,12,17945
934,9.9,12.7,17380
1011,33.2,92.1,19716
1012,36.4,85.1,26618
1013,38.3,77.6,20342
1014,34,88.6,21372
1015,22.7,67.3,21884
1016,18.4,54.2,19765
1022,40.1,76.9,19755
1031,10.8,26.9,20002
1032,15.8,17.9,20943
1034,7.2,4.6,22611
1035,8.2,2.4,19507
1041,30.5,63.6,19115
1042,35.5,78.9,18229
1043,25.1,72.3,18948
1044,17.9,62.5,21781
1115,21.9,57.1,16368
1121,15.4,..,18047
1122,15,51.9,16246
1123,24.2,67.9,21308
1124,24.2,81,20379
1131,22.2,47.1,17957
1132,12.2,38.1,15750
1133,16.4,60,17458
1134,18.3,50,16535
1141,11.3,56.5,17258
1142,12.9,63.2,19134
1143,10.5,58.5,14586
1144,32.6,75.7,19418
1147,21.7,63.1,20329
1211,6.6,51.4,15986
1212,8.5,40.7,16977
1213,11.7,40,11580
1214,14.4,40,20156
1215,16.1,65,20202
1216,26.4,69.4,28180
1217,27.1,61.5,19926
1221,33.1,51.1,20716
1222,35.4,76.2,22824
1223,33.5,82.6,23946
1311,29.5,85.7,25531
1312,33,81.5,27584
1313,28.5,64.3,28526
1314,23.3,78.3,28798
1321,31,..,29439
1322,24,..,31868
1333,21.1,84,24586
1334,23.9,78.1,26268
1335,17.7,78.6,22223
1336,22,83.3,20537
1337,..,66.7,..
1341,26.2,73.7,21951
1342,24.8,83.8,21000
1343,23.4,71.4,21834
1344,12.3,52.1,16328
1345,15.4,..,20819
1346,23.1,61.9,21820
1351,20,81.3,15748
1352,12.8,45.5,14977
1353,10.2,50,14024
1354,12.8,61.9,14794
1355,17.1,65.4,14423
1621,6.3,..,16547
1622,21.8,74.6,15741
1623,19.8,75,14639
1624,..,48.6,..
1625,..,67,..
1631,11.2,48,15367
1632,14.6,51.2,14464
1633,12.4,56.6,13820
1634,17.4,62.5,15876
1641,11,47.4,13515
1642,14.1,74.2,14368
1643,18.7,61.4,14594
1644,22.3,67.4,13907
2111,..,..,10608
2112,..,..,8628
2211,..,..,10712
2212,..,..,12873
2213,..,..,10275
2311,..,..,10738
2312,..,..,10596
2411,..,..,10967
2412,..,..,12434
2511,..,58.3,..
2512,..,33.3,..
2513,..,..,..
2514,..,..,..
2611,..,..,11464
2612,..,..,11424
2613,..,..,10295
2711,..,..,10249
2811,..,..,10375
2812,..,..,10435
2911,..,..,10666
