Latitude,Longitude,stat_area,party
31.803055,35.216529,521,ג
31.792386,35.223373,822,ג
31.795147,35.223385,532,ג
31.794537,35.22041,824,ג
31.784399,35.224796,842,ג
31.784399,35.224796,842,ג
31.795147,35.223385,532,ג
31.795197,35.225008,531,שס
31.794847,35.222969,532,שס
31.794537,35.22041,824,ג
31.794847,35.222969,532,ג
31.794067,35.223988,533,ג
31.794067,35.223988,533,שס
31.794067,35.223988,533,שס
31.794067,35.223988,533,ג
31.794067,35.223988,533,ג
31.784221,35.223904,842,ג
31.784221,35.223904,842,ג
31.783854,35.222803,842,מחל
31.783854,35.222803,842,מחל
31.783854,35.222803,842,ג
31.783854,35.222803,842,ג
31.784399,35.224796,842,ג
31.794847,35.222969,532,שס
31.785448,35.21963,841,ג
31.794847,35.222969,532,שס
31.792386,35.223373,822,ג
31.792386,35.223373,822,ג
31.794847,35.222969,532,שס
31.795147,35.223385,532,ג
31.795197,35.225008,531,ג
31.796567,35.216583,514,ג
31.796567,35.216583,514,ג
31.796567,35.216583,514,ג
31.795147,35.223385,532,ג
31.792334,35.209964,914,ג
31.794067,35.223988,533,ג
31.785448,35.21963,841,ג
31.785448,35.21963,841,ג
31.785448,35.21963,841,ג
31.794067,35.223988,533,ג
31.794067,35.223988,533,ג
31.789846,35.213502,834,ג
31.789846,35.213502,834,ג
31.794537,35.22041,824,ג
31.794537,35.22041,824,ג
31.796567,35.216583,514,ג
31.786663,35.214109,836,ג
31.792334,35.209964,914,ג
31.786663,35.214109,836,ג
31.792334,35.209964,914,ג
31.789846,35.213502,834,ג
31.789846,35.213502,834,ג
31.789846,35.213502,834,ג
31.789846,35.213502,834,ג
31.787198,35.2172,835,ג
31.787198,35.2172,835,ג
31.789846,35.213502,834,ג
31.787198,35.2172,835,ג
31.798774,35.215833,512,ג
31.787198,35.2172,835,ג
31.787198,35.2172,835,ג
31.798774,35.215833,512,ג
31.798774,35.215833,512,ג
31.798774,35.215833,512,ג
31.797759,35.212901,512,ג
31.798303,35.205776,912,ג
31.797759,35.212901,512,ג
31.785448,35.21963,841,ג
31.78213,35.224596,812,ג
31.779047,35.217942,846,מחל
31.780313,35.217301,846,מחל
31.776808,35.214499,847,מחל
31.77951,35.218214,846,מחל
31.776808,35.214499,847,מחל
31.77951,35.218214,846,מחל
31.77951,35.218214,846,מחל
31.77951,35.218214,846,אמת
31.779047,35.217942,846,מחל
31.779083,35.212821,847,מחל
31.78213,35.224596,812,קץ
31.78213,35.224596,812,קץ
31.78213,35.224596,812,מחל
31.78213,35.224596,812,מחל
31.794067,35.223988,533,שס
31.770525,35.221025,1321,מחל
31.770525,35.221025,1321,מחל
31.770525,35.221025,1321,מחל
31.770525,35.221025,1321,מחל
31.766343,35.215624,1314,מחל
31.770525,35.221025,1321,אמת
31.767031,35.214505,1312,אמת
31.770876,35.20999,863,אמת
31.770876,35.20999,863,אמת
31.770876,35.20999,863,אמת
31.766343,35.215624,1314,אמת
31.770876,35.20999,863,אמת
31.770876,35.20999,863,אמת
31.770876,35.20999,863,אמת
31.776808,35.214499,847,מחל
31.776808,35.214499,847,אמת
31.776808,35.214499,847,מחל
31.7783,35.212431,858,מחל
31.7783,35.212431,858,מחל
31.7783,35.212431,858,מחל
31.7783,35.212431,858,ג
31.779879,35.209997,857,מחל
31.779879,35.209997,857,מחל
31.779879,35.209997,857,מחל
31.779083,35.212821,847,ג
31.779083,35.212821,847,ג
31.779879,35.209997,857,מחל
31.780313,35.217301,846,מחל
31.780313,35.217301,846,מחל
31.782686,35.21309,852,מחל
31.782367,35.208584,856,מחל
31.782367,35.208584,856,מחל
31.779083,35.212821,847,מחל
31.786663,35.214109,836,ג
31.782686,35.21309,852,מחל
31.786344,35.174478,932,ג
31.787198,35.2172,835,שס
31.795733,35.200443,915,ג
31.795733,35.200443,915,ג
31.784277,35.19269,1015,מחל
31.784277,35.19269,1015,טב
31.781324,35.172492,934,ג
31.77704,35.190838,1013,אמת
31.780383,35.194277,1014,אמת
31.787878,35.175061,932,ג
31.787878,35.175061,932,ג
31.783228,35.171766,934,ג
31.781324,35.172492,934,ג
31.781324,35.172492,934,ג
31.792386,35.223373,822,ג
31.792386,35.223373,822,ג
31.796567,35.216583,514,ג
31.796567,35.216583,514,ג
31.789761,35.193498,922,ג
31.798998,35.206451,912,ג
31.789271,35.191792,923,ג
31.795733,35.200043,915,ג
31.798303,35.205776,912,ג
31.770876,35.20999,863,אמת
31.770876,35.20999,863,מחל
31.770876,35.20999,863,אמת
31.798303,35.205776,912,ג
31.798998,35.206451,912,ג
31.793445,35.201883,915,ג
