 שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס,Address,Latitude,Longitude,מס מפלגה הכי נבחרת,מפלגה הכי נבחרת
ירושלים,3000,1,654,465,15,450,1,275,0,0,0,0,4,0,0,0,0,4,0,28,0,1,0,0,0,0,0,0,1,31,0,105,"מעגלי הרי""ם לוין,27 ",31.803055,35.216529,2,ג
ירושלים,3000,2,519,302,7,295,0,175,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,20,0,93,"שמואל הנביא,83א",31.792386,35.223373,2,ג
ירושלים,3000,3,618,373,5,368,0,172,0,0,0,0,2,0,0,0,0,0,0,9,1,0,0,0,0,3,0,0,0,28,0,153,"מגן האלף,1 ",31.795147,35.223385,2,ג
ירושלים,3000,4,748,455,4,451,2,292,0,0,0,0,9,0,0,0,0,1,0,7,1,0,0,0,0,1,0,0,0,36,0,102,"פישל אהרן,29 ",31.794537,35.22041,2,ג
ירושלים,3000,5.1,432,100,2,98,0,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,19,"שבטי ישראל,27 ",31.784399,35.224796,2,ג
ירושלים,3000,5.2,335,68,1,67,0,43,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,9,"שבטי ישראל,27 ",31.784399,35.224796,2,ג
ירושלים,3000,6,604,301,5,296,0,209,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,21,0,58,"מגן האלף,1 ",31.795147,35.223385,2,ג
ירושלים,3000,7,588,333,15,318,0,82,0,1,0,0,2,0,0,0,0,2,0,15,0,0,0,0,0,0,0,1,0,49,0,166,"נטר,40 ",31.795197,35.225008,26,שס
ירושלים,3000,8,426,299,4,295,0,81,0,0,0,0,1,0,0,0,0,4,0,27,0,0,0,0,0,1,0,0,0,23,0,158,"מגן האלף,3 ",31.794847,35.222969,26,שס
ירושלים,3000,9,708,387,4,383,1,146,0,0,0,0,8,0,0,0,0,2,0,18,1,1,0,0,0,2,0,0,0,66,0,138,"פישל אהרן,29 ",31.794537,35.22041,2,ג
